Group_ID,Platform,Relationship_Type,Num_Vendors,Num_Devices,Vendors,Devices
D1_C0011,Works with Nest,Ecosystem,4,17,Chamberlain|LiFX|Nest|Withings,Chamberlain myq Garage Opener_YT|Drop Camera_UNSW|LIFX Bulb_YT|LiFX Bulb_UNSW|Nest CamIQ_YT|Nest Camera_Our|Nest Camera_Our2|Nest Camera_YT|Nest Dropcam_UNSW|Nest Guard_YT|Nest Protect smoke alarm_UNSW|Nest Protect smoke alarm_YT|Nest Tstat_IoTLS|Nest Tstat_Mon(uk)|Nest Tstat_Mon(us)|Withings Aura smart sleep sensor_UNSW|Withings Smart scale_UNSW
D1_C0012,Tmall Genie,Ecosystem,10,15,Aqara|Bull|Ecovacs|Ezviz|Hongyar|Magic Home|Midea|Philips|Tianmao|Tuya,Aqara Light_selfdata|Aqara Plug_selfdata|Bull Plug_selfdata|Hongyar Plug_selfdata|Hue Switch_IoT-Sentinel|Magic Home Strip_Mon(uk)|Magic Home Strip_Mon(us)|Midea Light_selfdata|Philips Bulb_Mon(us)|Philips Light_selfdata|Tianmao Speaker_selfdata|Tuya Plug_selfdata|Tuya Sensor_selfdata|Yingshi Camera_selfdata|deebot_cleaner
D1_C0013,Parent/Subsidiary (Mercury/TP-Link),Parent/Subsidiary,2,15,Mercury|TP-Link,Shuixing Camera_selfdata|TP-Link Blub_IoTLS|TP-Link Bulb_Mon(uk)|TP-Link Bulb_Mon(us)|TP-Link Camera_selfdata|TP-Link Day Night Cloud camera_UNSW|TP-Link Doorbell_selfdata|TP-Link PlugHS100_IoT-Sentinel|TP-Link PlugHS110_IoT-Sentinel|TP-Link Plug_Mon(uk)|TP-Link Plug_Mon(us)|TP-Link Smart Plug_UNSW|TP-Link SmartWiFi LED Bulb_YT|TP-Link WiFi Plug_IoTLS|TP-Link WiFi Plug_YT
D1_C0014,DuerOS,Ecosystem,7,12,Aqara|Ecovacs|Ezviz|Lecheng|Midea|Tuya|Xiaodu,Aqara Light_selfdata|Aqara Plug_selfdata|Lecheng Camera_selfdata|Midea Light_selfdata|Tuya Plug_selfdata|Tuya Sensor_selfdata|Xiaodu Clock_selfdata|Xiaodu Plug_selfdata|Xiaodu Sensor_selfdata|Yingshi Camera_selfdata|deebot_cleaner|xiaodu_speaker
D1_C0015,HarmonyOS Connect,Ecosystem,9,12,Bull|Dalen|Ecovacs|Hongyar|Honorxiaotun|Huawei|Midea|Pisen|Xiaotun,Bull Plug_selfdata|Dalen Light_selfdata|Hongyar Plug_selfdata|Honorxiaotun Camera_selfdata|Huawei Camera_selfdata|Huawei Sound_selfdata|Huaweizhengtai Plug_selfdata|Midea Light_selfdata|Pisen Camera_selfdata|Xiaotun Camera_selfdata|deebot_cleaner|huawei_tv
D1_C0016,Parent/Subsidiary (Harman Kardon/Samsung),Parent/Subsidiary,2,13,Harman Kardon|Samsung,Allure Speaker_Mon(uk)|Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us)|Samsung Dryer_IoTLS|Samsung Dryer_Mon(us)|Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Samsung SmartCam_UNSW|Samsung Washer_Mon(us)|Sansung Fridge_Mon(us)
D1_C0017,Parent/Subsidiary (Mijia/Xiaomi),Parent/Subsidiary,2,13,Mijia|Xiaomi,Mijia Humidifier_selfdata|Mijia Plug_selfdata|Mijia Plugtwo_selfdata|Xiaomi Camera3_selfdata|Xiaomi Camera_Mon(uk)|Xiaomi Camera_selfdata|Xiaomi Cleaner_Mon(uk)|Xiaomi Cleaner_Mon(us)|Xiaomi Ricecooker_Mon(us)|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata|Xiaomi Strip_Mon(us)|xiaomitv_speaker
D1_C0018,Apple AirPlay,Ecosystem,4,12,Apple|Bose|Harman Kardon|Sonos,Allure Speaker_Mon(uk)|Apple Home Pod_YT|Apple TV(4thGen)_YT|Apple TV_IoTLS|Apple TV_Mon(uk)|Apple TV_Mon(us)|Apple home Pod_IoTLS|Bose Sound Touch10_YT|Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us)|Sonos_YT
D1_C0019,Logitech Harmony,Ecosystem,4,10,HoneyWell|LiFX|Philips|Roku,HoneyWell Thermostat_Mon(uk)|LIFX Bulb_YT|LiFX Bulb_UNSW|Philips Bulb_Mon(us)|Philips Light_selfdata|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT
D1_C0020,Ring,Ecosystem,3,7,Chamberlain|HoneyWell|Ring,Chamberlain myq Garage Opener_YT|HoneyWell Thermostat_Mon(uk)|Ring Doorbell_Mon(uk)|Ring Doorbell_Mon(us)|Ring Doorbell_Our|Ring Doorbell_Our2|Ring Doorbell_YT
D1_C0021,Google Meet,Ecosystem,2,7,Google|Logitech,Google Home Mini3_IoTLS|Google Home Mini_Mon(uk)|Google Home Mini_Mon(us)|Google Home Mini_YT|Google Home_Mon(uk)|Google Home_YT|Logitech Logi Circle_YT
D1_C0022,Samsung Health,Ecosystem,2,7,Samsung|Withings,Samsung Fridge_IoTLS|Samsung Smart TV_Mon(uk)|Samsung Smart TV_Mon(us)|Samsung Smart TV_YT|Sansung Fridge_Mon(us)|Withings Aura smart sleep sensor_UNSW|Withings Smart scale_UNSW
D1_C0023,Roku TV,Ecosystem,2,6,Bose|Roku,Bose Sound Touch10_YT|Roku TV_IoTLS|Roku TV_Mon(uk)|Roku TV_Mon(us)|Roku TV_YT|Roku4_YT
D1_C0024,JD Joylink,Ecosystem,4,5,Bull|Ecovacs|JD|Philips,Bull Plug_selfdata|JD Camera_selfdata|Philips Bulb_Mon(us)|Philips Light_selfdata|deebot_cleaner
D1_C0025,Tuya,Ecosystem,4,5,Gosound|Hongyar|Lenovo|Tuya,Gosound Plug_selfdata|Hongyar Plug_selfdata|Lenovo Camera_selfdata|Tuya Plug_selfdata|Tuya Sensor_selfdata
D1_C0026,NVIDIA GeForce NOW,Ecosystem,2,5,LG|nVidia,LG Smart TV_IoTLS|LG Smart TV_Mon(us)|LG Smart TV_Our|LG Smart TV_Our2|nVidia Shield_YT
D1_C0027,Apple Health,Ecosystem,2,4,Apple|Withings,Apple Home Pod_YT|Apple home Pod_IoTLS|Withings Aura smart sleep sensor_UNSW|Withings Smart scale_UNSW
D1_C0028,Aqara Home,Ecosystem,2,4,Aqara|Sonos,Aqara Camera_selfdata|Aqara Light_selfdata|Aqara Plug_selfdata|Sonos_YT
D1_C0029,Parent/Subsidiary (Philips/Wiz),Parent/Subsidiary,2,4,Philips|Wiz,Hue Switch_IoT-Sentinel|Philips Bulb_Mon(us)|Philips Light_selfdata|Wiz Light_selfdata
D1_C0030,Alarm.com,Ecosystem,2,3,Chamberlain|Philips,Chamberlain myq Garage Opener_YT|Philips Bulb_Mon(us)|Philips Light_selfdata
D1_C0031,Huawei OceanConnect,Ecosystem,2,3,Huawei|Philips,Huawei Camera_selfdata|Philips Bulb_Mon(us)|Philips Light_selfdata
D1_C0033,Honeywell Total Connect,Ecosystem,2,2,Chamberlain|HoneyWell,Chamberlain myq Garage Opener_YT|HoneyWell Thermostat_Mon(uk)
D1_C0034,Microsoft Teams Rooms,Ecosystem,2,2,Lenovo|Logitech,Lenovo Camera_selfdata|Logitech Logi Circle_YT
D1_C0035,Parent/Subsidiary (JD/Xiaojingyu),Parent/Subsidiary,2,2,JD|Xiaojingyu,JD Camera_selfdata|Xiaojingyu Clock_selfdata
